CustomerID,Cluster
C0001,3
C0002,3
C0003,3
C0004,2
C0005,4
C0006,1
C0007,4
C0008,2
C0009,4
C0010,0
C0011,1
C0012,2
C0013,2
C0014,0
C0015,4
C0016,1
C0017,2
C0018,2
C0019,3
C0020,4
C0021,2
C0022,1
C0023,1
C0024,1
C0025,0
C0026,1
C0027,3
C0028,2
C0029,3
C0030,3
C0031,3
C0032,0
C0033,0
C0034,3
C0035,3
C0036,3
C0037,1
C0038,3
C0039,2
C0040,1
C0041,2
C0042,4
C0043,0
C0044,4
C0045,2
C0046,2
C0047,3
C0048,1
C0049,3
C0050,4
C0051,2
C0052,3
C0053,2
C0054,2
C0055,3
C0056,1
C0057,2
C0058,4
C0059,2
C0060,0
C0061,4
C0062,3
C0063,0
C0064,1
C0065,2
C0066,1
C0067,1
C0068,2
C0069,3
C0070,3
C0071,0
C0072,3
C0073,3
C0074,4
C0075,2
C0076,3
C0077,0
C0078,4
C0079,1
C0080,4
C0081,3
C0082,2
C0083,0
C0084,2
C0085,4
C0086,3
C0087,2
C0088,3
C0089,4
C0090,3
C0091,3
C0092,1
C0093,2
C0094,0
C0095,0
C0096,1
C0097,0
C0098,3
C0099,2
C0100,1
C0101,2
C0102,2
C0103,4
C0104,2
C0105,2
C0106,3
C0107,1
C0108,2
C0109,2
C0110,0
C0111,3
C0112,3
C0113,2
C0114,2
C0115,4
C0116,1
C0117,1
C0118,1
C0119,0
C0120,4
C0121,0
C0122,2
C0123,4
C0124,2
C0125,1
C0126,1
C0127,1
C0128,4
C0129,3
C0130,4
C0131,4
C0132,3
C0133,1
C0134,3
C0135,1
C0136,2
C0137,1
C0138,1
C0139,1
C0140,4
C0141,2
C0142,3
C0143,2
C0144,0
C0145,2
C0146,4
C0147,3
C0148,2
C0149,1
C0150,4
C0151,0
C0152,3
C0153,2
C0154,1
C0155,1
C0156,2
C0157,3
C0158,1
C0159,3
C0160,3
C0161,3
C0162,2
C0163,2
C0164,3
C0165,2
C0166,3
C0167,4
C0168,1
C0169,2
C0170,1
C0171,1
C0172,3
C0173,2
C0174,3
C0175,2
C0176,3
C0177,3
C0178,3
C0179,3
C0181,3
C0182,2
C0183,1
C0184,1
C0185,1
C0186,4
C0187,1
C0188,2
C0189,3
C0190,3
C0191,3
C0192,4
C0193,3
C0194,3
C0195,3
C0196,1
C0197,3
C0198,0
C0199,3
C0200,1
